% Column 0: Length, cm
% Column 1: |B|, Tesla
0.00000000e+000	5.15264409e-006	
1.00178891e-001	5.15323805e-006	
2.00357782e-001	5.15480028e-006	
3.00536673e-001	5.15712687e-006	
4.00715564e-001	5.15978268e-006	
5.00894454e-001	5.16306121e-006	
6.01073345e-001	5.16709776e-006	
7.01252236e-001	5.17113430e-006	
8.01431127e-001	5.17517085e-006	
9.01610018e-001	5.17950627e-006	
1.00178891e+000	5.18687507e-006	
1.10196780e+000	5.19424387e-006	
1.20214669e+000	5.20161268e-006	
1.30232558e+000	5.20898150e-006	
1.40250447e+000	5.21948460e-006	
1.50268336e+000	5.23115661e-006	
1.60286225e+000	5.24282864e-006	
1.70304114e+000	5.25450068e-006	
1.80322004e+000	5.26674333e-006	
1.90339893e+000	5.27996995e-006	
2.00357782e+000	5.29319660e-006	
2.10375671e+000	5.30642328e-006	
2.20393560e+000	5.31965000e-006	
2.30411449e+000	5.33287674e-006	
2.40429338e+000	5.34610351e-006	
2.50447227e+000	5.35933030e-006	
2.60465116e+000	5.37255713e-006	
2.70483005e+000	5.39114685e-006	
2.80500894e+000	5.41269605e-006	
2.90518784e+000	5.43424535e-006	
3.00536673e+000	5.45579473e-006	
3.10554562e+000	5.47890094e-006	
3.20572451e+000	5.50595003e-006	
3.30590340e+000	5.53299929e-006	
3.40608229e+000	5.56004871e-006	
3.50626118e+000	5.58709830e-006	
3.60644007e+000	5.60622426e-006	
3.70661896e+000	5.62467762e-006	
3.80679785e+000	5.64313106e-006	
3.90697674e+000	5.66158458e-006	
4.00715564e+000	5.68112745e-006	
4.10733453e+000	5.70152479e-006	
4.20751342e+000	5.72192227e-006	
4.30769231e+000	5.74231988e-006	
4.40787120e+000	5.76499731e-006	
4.50805009e+000	5.79684473e-006	
4.60822898e+000	5.82869252e-006	
4.70840787e+000	5.86054069e-006	
4.80858676e+000	5.89238923e-006	
4.90876565e+000	5.92269624e-006	
5.00894454e+000	5.95270512e-006	
5.10912343e+000	5.98271443e-006	
5.20930233e+000	6.01272415e-006	
5.30948122e+000	6.04388598e-006	
5.40966011e+000	6.07631397e-006	
5.50983900e+000	6.10874265e-006	
5.61001789e+000	6.14117201e-006	
5.71019678e+000	6.17367665e-006	
5.81037567e+000	6.20675575e-006	
5.91055456e+000	6.23983582e-006	
